Name,Price,Comments_Volume,Sentiment_Index,Date,Timestamp,Timedelta,Date_Dashed,Date_Dotted
Wusthof Classic 8-Inch Chef's Knife,124.97,506,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Gourmet 18 Piece Cherry Block Knife Cutlery Set 9718-2,279.95,27,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wusthof Classic Ikon 8-Inch Cook's Knife, Black",120.04,323,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wusthof 4183-7 Wusthof Classic 7-Inch Santoku Knife, Hollow Edge",104.94,436,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wüsthof - 10"" Knife Sharpening Steel with Loop",24.95,364,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wusthof Classic Chef's Knife: 6""",59.95,68,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wüsthof - Three Piece Cook’s Set - 3 1/2"" Paring Knife, 6"" Utility Knife, and 8"" Cook’s Knife (9608)",204,229,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wüsthof - Three Piece Cook’s Set - 3 1/2"" Paring Knife, 6"" Utility Knife, and 8"" Cook’s Knife (9608)",204,229,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wüsthof - Three Piece Cook’s Set - 3 1/2"" Paring Knife, 6"" Utility Knife, and 8"" Cook’s Knife (9608)",204,229,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Gourmet 18 Piece Acacia Knife Cutlery Block Set 9718-6,199.95,66,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wüsthof - 2 Stage Hand-Held Sharpener (2922),19.95,783,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wusthof Classic Ikon 7-Inch Santoku, Hollow Edge, Black",134.35,219,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Classic 7-piece Slim Knife Block Set (Acacia),349.95,121,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Pro 5 Piece High Carbon Stainless Steel Starter Knife Set,79.95,59,0.22,20180518,1526601600,20180518,2018-05-18,20180518
WUSTHOF Gourmet Seven Piece Starter Block Set,119.95,145,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Classic 6-Inch Chef's Knife,59.95,216,0.22,20180518,1526601600,20180518,2018-05-18,20180518
"Wusthof Pro Cook's Knife, 8-Inch",29.75,195,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Gourmet 6-Piece Steak-Knife Set,109.95,174,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Gourmet 6-Piece Steak-Knife Set,109.95,174,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Gourmet 6-Piece Steak-Knife Set,109.95,174,0.22,20180518,1526601600,20180518,2018-05-18,20180518
Wusthof Classic 8-Inch Chef's Knife,126.94,506,0.22,20180519,1526688000,20180519,2018-05-19,20180519
"Wüsthof - Three Piece Cook’s Set - 3 1/2"" Paring Knife, 6"" Utility Knife, and 8"" Cook’s Knife (9608)",204,229,0.22,20180519,1526688000,20180519,2018-05-19,20180519
Wüsthof - 2 Stage Hand-Held Sharpener (2922),19.94,783,0.22,20180519,1526688000,20180519,2018-05-19,20180519
Wusthof Gourmet 18 Piece Cherry Block Knife Cutlery Set 9718-2,279.95,27,0.22,20180519,1526688000,20180519,2018-05-19,20180519
Wusthof Gourmet 18 Piece Acacia Knife Cutlery Block Set 9718-6,199.95,66,0.22,20180519,1526688000,20180519,2018-05-19,20180519
"Wusthof Classic Ikon 8-Inch Cook's Knife, Black",119,323,0.22,20180519,1526688000,20180519,2018-05-19,20180519
Wusthof Classic 7-piece Slim Knife Block Set (Acacia),349.95,121,0.22,20180519,1526688000,20180519,2018-05-19,20180519
Wusthof Classic 7-piece Slim Knife Block Set (Acacia),349.95,121,0.22,20180519,1526688000,20180519,2018-05-19,20180519
Wusthof Classic 7-piece Slim Knife Block Set (Acacia),349.95,121,0.22,20180519,1526688000,20180519,2018-05-19,20180519
"Wusthof Classic Chef's Knife: 6""",59.95,68,0.22,20180519,1526688000,20180519,2018-05-19,20180519
"Wusthof 4183-7 Wusthof Classic 7-Inch Santoku Knife, Hollow Edge",104.95,436,0.22,20180519,1526688000,20180519,2018-05-19,20180519
WUSTHOF Gourmet Seven Piece Starter Block Set,119.95,145,0.22,20180519,1526688000,20180519,2018-05-19,20180519
